Until epoch,Estimated date,Reward per epoch %,Estimated annualized rewards %
1170,2020-11-18T16:00:00.000Z,0.002081,20.0697
4842,2021-04-20T03:46:38.848Z,0.002081,20.0697
4866,2021-04-21T03:41:51.259Z,0.002080,20.0592
4890,2021-04-22T03:37:03.669Z,0.002079,20.0486
4914,2021-04-23T03:32:16.080Z,0.002078,20.0381
4938,2021-04-24T03:27:28.491Z,0.002076,20.0170
4962,2021-04-25T03:22:40.902Z,0.002075,20.0064
4986,2021-04-26T03:17:53.313Z,0.002073,19.9853
5010,2021-04-27T03:13:05.723Z,0.002071,19.9643
5034,2021-04-28T03:08:18.134Z,0.002069,19.9432
5058,2021-04-29T03:03:30.545Z,0.002067,19.9221
5082,2021-04-30T02:58:42.956Z,0.002065,19.9010
5106,2021-05-01T02:53:55.366Z,0.002063,19.8799
5130,2021-05-02T02:49:07.777Z,0.002060,19.8483
5154,2021-05-03T02:44:20.188Z,0.002057,19.8167
5178,2021-05-04T02:39:32.599Z,0.002054,19.7851
5202,2021-05-05T02:34:45.010Z,0.002050,19.7430
5226,2021-05-06T02:29:57.420Z,0.002046,19.7009
5250,2021-05-07T02:25:09.831Z,0.002041,19.6484
5274,2021-05-08T02:20:22.242Z,0.002036,19.5958
5298,2021-05-09T02:15:34.653Z,0.002030,19.5327
5322,2021-05-10T02:10:47.063Z,0.002024,19.4697
5346,2021-05-11T02:05:59.474Z,0.002017,19.3962
5370,2021-05-12T02:01:11.885Z,0.002008,19.3018
5394,2021-05-13T01:56:24.296Z,0.001999,19.2075
5418,2021-05-14T01:51:36.706Z,0.001988,19.0923
5442,2021-05-15T01:46:49.117Z,0.001975,18.9563
5466,2021-05-16T01:42:01.528Z,0.001961,18.8100
5490,2021-05-17T01:37:13.939Z,0.001945,18.6431
5514,2021-05-18T01:32:26.350Z,0.001927,18.4555
5538,2021-05-19T01:27:38.760Z,0.001909,18.2683
5562,2021-05-20T01:22:51.171Z,0.001889,18.0606
5586,2021-05-21T01:18:03.582Z,0.001870,17.8636
5610,2021-05-22T01:13:15.993Z,0.001851,17.6669
5634,2021-05-23T01:08:28.403Z,0.001834,17.4912
5658,2021-05-24T01:03:40.814Z,0.001818,17.3261
5682,2021-05-25T00:58:53.225Z,0.001803,17.1715
5706,2021-05-26T00:54:05.636Z,0.001791,17.0480
5730,2021-05-27T00:49:18.047Z,0.001779,16.9246
5754,2021-05-28T00:44:30.457Z,0.001769,16.8219
5778,2021-05-29T00:39:42.868Z,0.001761,16.7398
5802,2021-05-30T00:34:55.279Z,0.001753,16.6578
5826,2021-05-31T00:30:07.690Z,0.001747,16.5963
5850,2021-06-01T00:25:20.100Z,0.001741,16.5348
5874,2021-06-02T00:20:32.511Z,0.001736,16.4836
5898,2021-06-03T00:15:44.922Z,0.001731,16.4324
5922,2021-06-04T00:10:57.333Z,0.001727,16.3915
5946,2021-06-05T00:06:09.744Z,0.001723,16.3506
5970,2021-06-06T00:01:22.154Z,0.001720,16.3199
5994,2021-06-06T23:56:34.565Z,0.001717,16.2892
6018,2021-06-07T23:51:46.976Z,0.001714,16.2586
6042,2021-06-08T23:46:59.387Z,0.001711,16.2279
6066,2021-06-09T23:42:11.797Z,0.001709,16.2075
6090,2021-06-10T23:37:24.208Z,0.001707,16.1871
6114,2021-06-11T23:32:36.619Z,0.001705,16.1666
6138,2021-06-12T23:27:49.030Z,0.001703,16.1462
6162,2021-06-13T23:23:01.440Z,0.001701,16.1258
6186,2021-06-14T23:18:13.851Z,0.001700,16.1156
6210,2021-06-15T23:13:26.262Z,0.001698,16.0952
6234,2021-06-16T23:08:38.673Z,0.001697,16.0850
6258,2021-06-17T23:03:51.084Z,0.001696,16.0748
9234,2021-10-19T13:09:30.020Z,0.001694,16.0544
9258,2021-10-20T13:04:42.430Z,0.001693,16.0442
9282,2021-10-21T12:59:54.841Z,0.001692,16.0340
9306,2021-10-22T12:55:07.252Z,0.001690,16.0136
9330,2021-10-23T12:50:19.663Z,0.001689,16.0034
9354,2021-10-24T12:45:32.073Z,0.001687,15.9830
9378,2021-10-25T12:40:44.484Z,0.001686,15.9728
9402,2021-10-26T12:35:56.895Z,0.001684,15.9524
